,9,24,14,15,17,1,21,0,18,10,12,23,3,4,5,6,19,20,22,7,11,13,16,2,8
푸드,77.77777777777779,93.66883116883116,91.015625,,94.34840425531915,,100.0,91.86046511627907,85.36585365853658,,96.875,100.0,97.2972972972973,100.0,97.40259740259741,94.68085106382979,98.4375,50.0,50.0,100.0,100.0,,,,
게임·취미,78.26086956521739,66.66666666666666,85.41666666666666,,,,94.44444444444444,89.1891891891892,100.0,,80.0,,50.0,100.0,100.0,75.0,100.0,96.0,,100.0,,,,,
스포츠·모빌리티,88.60759493670885,90.625,88.77551020408163,100.0,,100.0,96.66666666666667,93.97590361445783,84.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.04761904761905,83.05084745762711,100.0,81.48148148148148,,0.0,,,
패션·잡화,75.0,83.45195729537367,76.9406392694064,86.39356254572056,,84.84210526315789,100.0,83.82687927107062,74.26470588235294,,95.65846599131693,96.53846153846153,94.96221662468514,91.63841807909604,91.46005509641874,86.13333333333333,92.82700421940928,83.1858407079646,90.51094890510949,50.0,100.0,50.0,,,
홈·리빙,84.8780487804878,81.31868131868131,81.65869218500798,60.0,,,94.96197718631178,85.08997429305913,73.72881355932203,50.0,96.55172413793103,98.21428571428571,94.97206703910615,97.98657718120806,95.76923076923077,90.0,95.08196721311475,81.60919540229885,94.11764705882352,72.41379310344827,100.0,,100.0,,
클래스·컨설팅,89.44444444444444,64.28571428571429,88.23529411764706,,,,97.77777777777777,66.66666666666666,75.0,,80.0,,,100.0,50.0,,100.0,53.333333333333336,,60.0,,100.0,,,
반려동물,87.43455497382199,84.45945945945947,85.03649635036497,71.42857142857143,100.0,81.81818181818183,97.15447154471545,82.38636363636364,80.0,100.0,95.77464788732394,100.0,98.27586206896551,95.23809523809523,91.72932330827066,82.45614035087719,93.10344827586206,94.11764705882352,100.0,50.0,,,,,
테크·가전,93.24324324324324,93.39622641509435,91.66666666666666,100.0,,100.0,98.21428571428571,95.2755905511811,86.41975308641975,,98.9247311827957,100.0,100.0,100.0,98.11320754716981,97.82608695652173,96.5,92.45283018867924,100.0,72.72727272727273,,42.857142857142854,,,
뷰티,91.46341463414635,87.65432098765432,88.69047619047619,75.0,,,95.45454545454545,96.29629629629629,82.0,95.59841740850644,97.72727272727273,100.0,100.0,98.01980198019803,96.72131147540983,97.14285714285714,99.29078014184397,88.88888888888889,100.0,0.0,,,,100.0,
베이비·키즈,85.36585365853658,80.76923076923077,81.42857142857143,100.0,,100.0,95.65217391304348,92.3076923076923,73.33333333333333,,89.47368421052632,,100.0,90.0,91.66666666666666,77.77777777777779,100.0,78.57142857142857,,66.66666666666666,,,,,
모임,94.11764705882352,,0.0,,,,,,0.0,,,,,,100.0,,100.0,66.66666666666666,100.0,,,,,,
여행·레저,84.57142857142857,82.17821782178217,86.25,72.72727272727273,,100.0,91.30434782608695,76.66666666666667,80.0,,92.7536231884058,100.0,93.10344827586206,95.74468085106383,97.43589743589743,96.55172413793103,95.34883720930233,78.04878048780488,100.0,63.888888888888886,,0.0,,,
소셜·캠페인,78.94736842105263,84.84848484848484,85.71428571428571,92.85714285714286,50.0,100.0,100.0,84.78260869565217,76.31578947368422,,66.66666666666666,,100.0,100.0,100.0,91.66666666666666,100.0,100.0,50.0,100.0,,,,,100.0
출판,85.59322033898306,93.75,74.04580152671755,,,,88.88888888888889,75.60975609756098,52.0,,50.0,,100.0,100.0,100.0,70.0,100.0,50.0,,,,,,,
컬쳐·아티스트,82.41758241758241,81.48148148148148,79.56989247311827,100.0,,,100.0,85.0,76.47058823529412,100.0,92.85714285714286,100.0,90.9090909090909,100.0,93.33333333333333,82.35294117647058,100.0,87.2340425531915,62.5,72.72727272727273,,,100.0,,
캐릭터·굿즈,78.26086956521739,80.95238095238095,85.71428571428571,100.0,,100.0,100.0,94.44444444444444,100.0,,100.0,,85.71428571428571,100.0,100.0,100.0,80.0,0.0,,,100.0,,,,
기부·후원,,,33.33333333333333,,,,,100.0,,,,,,,,,,,,,,,,,
